公司,地点,公司类型,AI产品,运营,UIUX设计,研发or其他,,,,,,,,,,,
Goodnotes,上海,AI笔记,"C端产品经理 3-1+
增长产品经理 2-1 2-2",增长运营（内容向）,,,,,,,,,,,,,
荆华密算,北京,密态计算,用户体验产品,,,销售,,,,,,,,,,,
沐仞科技,北京,AI infra,,,,"Agent后端
运维工程
行政助理",,,,,,,,,,,
极致上下文,北京,AI视频,多模态产品,产品营销专家,,后端，融资总监,,,,,,,,,,,
OiiOii 天码形空科技,"北京,上海",AI动画，AI内容创作工具,,"达人运营
海外增长投放",,,,,,,,,,,,,
LibLib,"北京,上海",AIGC,,"韩国社媒
韩国kol",,,,,,,,,,,,,
蝴蝶梦境,上海,AI娱乐（乙女，陪伴）,"模型产品/AI陪伴产品
高潜，2-2到3-1，可北京","海外社群运营
海外增长负责人",,后端，高潜 2-1,,,,,,,,,,,
"Machine
",上海,"AI陪伴
","C端产品-AI搜索、agent
用户增长产品-职级3-1/2-2","海外运营（欧美 年轻）
-内容运营",,,,,,,,,,,,,
"Formless
",上海,多模态agent,"AI用户产品
创意工具产品","用户增长（偏策略）
用户运营（用户/社区运营）",,,,,,,,,,,,,
深至科技,上海,AI医疗,"智能体（C端）产品经理
C端+AI（80-120w)",,,财务（四大+医药背景）,,,,,,,,,,,
Open Design,上海,AI设计,AI产品,,设计,,,,,,,,,,,,
One2x,"上海,远程",AI视频,,,产品设计,,,,,,,,,,,,
瑞声AAC,深圳,消费电子，企业AI部门,AI产品经理（B端 企业级项目）3年+,,,Agent工程,,,,,,,,,,,
Nooklab,深圳,AI软硬件-录音,软件产品经理,,,,,,,,,,,,,,
雷鸟,深圳,AI软硬件,"AI陪伴产品
软件产品负责人",,,,,,,,,,,,,,
TTC,北京,AI招聘,AI产品经理-P7,,,后端、Agent研发,,,,,,,,,,,
Rockflow,北京,AI金融,"AI产品经理
中级和高阶的AI产品经理，聪明背景好",,,,,,,,,,,,,,
Pix AI,远程,AI二次元,,,,"前端、后端
二次元，remote",,,,,,,,,,,
VAST,北京,3D模型,,海外社媒（品牌）,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
公司,地点,公司类型,岗位,,,,,,,,,,,,,,
启承资本,北京,咨询,消费品牌战略,,,,,,,,,,,,,,
Tara,北京,AI社交,财务,,,,,,,,,,,,,,
创鑫激光,北京,上市公司,硬件负责人/总工,,,,,,,,,,,,,,
时来资本,上海,FA,FA（2-6年经验）,,,,,,,,,,,,,,
星辰资本,"北京,上海",FA,FA-VP,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
不活跃岗位,,,,,,,,,,,,,,,,,
Aether AI,上海,具身模型,,海外社媒-欧美,,,,,,,,,,,,,
Odyss,深圳,AI硬件+健康,,海外社媒-硬件,,,,,,,,,,,,,
今日宜休,北京,AI健康,IoT产品经理,,,,,,,,,,,,,,
东英科技,北京,AI健康,"C端AI产品
5年左右，must AI产品经验，规模化一些",市场增长Must AI 产品增长，社群经验加分（小红书，小宇宙）,uiux,测试,,,,,,,,,,,
脑利科技,北京,AI硬件,,mkt硬件方向,"UIUX设计
C端，2-1 2-2",,,,,,,,,,,,
Nooka,北京,AI漫剧,,"Junior增长运营
海外KOL方向","UIUX设计
缓，有人在offer流程上",,,,,,,,,,,,
爱诗科技,北京,AI视频,,"海外增长投放
海外C端 增长投放经验。P7水平起推",,,,,,,,,,,,,
Looki,北京,AI硬件,,市场负责人-AI智能硬件中国区,,,,,,,,,,,,,
"点富科技
",北京,"垂直领域专家智能分身
","增长产品
用户裂变策略，知名互联网公司
心理学产品",,,,,,,,,,,,,,
景跃羽森,北京,AI Agent,,,"UIUX设计
C端、海外产品、动画/视频/平面等设计方面",,,,,,,,,,,,
NemoVideo,北京,"AI剪辑
","视频产品
","运营岗（海外Marketing）偏北美市场，需社媒/KOL运营
创作者运营",,,,,,,,,,,,,
"心影随形
",北京,AI游戏陪伴，AI应用工具,"

",,,,,,,,,,,,,,
Aha Lab,北京,AI达人营销,,,,,,,,,,,,,,,
巨日禄,上海,AI互娱,,,,,,,,,,,,,,,
